Student_ID,Attendance,Current_GPA,Previous_GPA,Assignment_Rate,Backlogs,Occupancy_Rate,Electricity_Usage,Internet_Usage,Maintenance_Complaints,Temperature,Humidity,Rainfall,Water_Level,Air_Quality_Index,Risk_Score,Risk_Level,Risk_Factors,Recommended_Action
ST1033,97,4.44,8.13,53,3,48,569.1,40,9,23.9,98,115.4,38,245,71.4,High,Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1034,61,8.93,4.41,63,5,72,1029.9,90,8,39.6,70,96.9,78,150,60.3,Medium,Low attendance; Backlogs; Heavy rainfall; High water level,Monitor performance and attendance
ST1035,100,8.24,5.81,59,3,71,704.7,97,4,30.1,53,55.2,79,99,31.8,Low,Low assignment completion; Backlogs; High water level,Continue regular monitoring
ST1036,83,4.49,8.25,48,3,87,1413.4,54,15,35.6,78,26.8,40,198,64.9,Medium,Declining GPA; Low assignment completion; Backlogs,Monitor performance and attendance
ST1037,64,4.51,4.4,60,1,45,1041.5,41,10,41.6,47,112,89,215,77.5,High,Low attendance; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1038,88,9.92,7.49,89,5,80,1052.1,55,4,21.1,36,41.4,40,106,24.8,Low,Backlogs,Continue regular monitoring
ST1039,66,6.25,6.08,89,1,98,790.4,41,5,22.1,33,19.3,98,231,49.3,Medium,Low attendance; High water level,Monitor performance and attendance
ST1040,98,6.22,7.73,48,3,75,457.2,72,8,35.9,98,67.6,55,172,47.9,Medium,Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1041,81,8.88,4.27,78,5,98,434.9,80,12,26.2,89,113.3,86,177,57.1,Medium,Backlogs; Heavy rainfall; High water level,Monitor performance and attendance
ST1042,67,9.68,9.23,92,3,99,865.7,66,7,24.1,84,0.5,61,229,21.8,Low,Low attendance; Backlogs,Continue regular monitoring
ST1043,99,9.92,9.84,51,4,41,493,75,7,20.9,45,28.6,19,125,23.2,Low,Low assignment completion; Backlogs,Continue regular monitoring
ST1044,55,8.52,9.81,53,5,68,1067.5,82,13,20.5,58,112.6,97,158,80.1,High,Low attendance; Declining GPA; Low assignment completion; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1045,54,6.26,8.5,59,5,43,1369.1,42,7,37,52,20.5,83,240,77.9,High,Low attendance; Declining GPA; Low assignment completion; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1046,86,4.5,4.78,87,3,40,1371.2,83,0,23,43,13.6,50,36,54.8,Medium,Backlogs,Monitor performance and attendance
ST1047,90,8.66,8.55,60,4,58,1124.9,86,0,30.3,78,68.4,86,173,43.2,Medium,Backlogs; Heavy rainfall; High water level,Monitor performance and attendance
ST1048,83,7.35,4.15,93,2,65,632.4,33,7,33.3,62,103.4,12,42,36.9,Low,Backlogs; Heavy rainfall,Continue regular monitoring
ST1049,94,6.55,4.13,48,1,64,1349.3,78,4,29.4,54,57.3,68,203,33.1,Low,Low assignment completion,Continue regular monitoring
ST1050,91,9.44,5.94,77,3,49,1374.7,36,8,20.6,50,119.3,61,199,31.4,Low,Backlogs; Heavy rainfall,Continue regular monitoring
ST1051,96,4.67,6.93,74,5,92,616.3,40,1,37.2,46,81.5,43,67,69.7,Medium,Declining GPA; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1052,42,6.96,8.62,84,1,54,1211.2,83,15,20.2,52,8.9,58,39,41.5,Medium,Low attendance; Declining GPA,Monitor performance and attendance
ST1053,76,4.07,8.1,84,1,98,715.2,74,8,36.8,86,119.1,37,21,63.8,Medium,Declining GPA; Heavy rainfall,Monitor performance and attendance
ST1054,90,6.81,6.68,47,1,61,1282.9,52,11,39.7,87,48.9,92,107,42.9,Medium,Low assignment completion; High water level,Monitor performance and attendance
ST1055,46,4.34,5.64,92,2,90,1497,57,13,29.5,43,34.5,96,50,75.7,High,Low attendance; Declining GPA; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1056,60,4.71,9.98,76,0,87,433,86,7,31.8,49,66.9,22,174,49,Medium,Low attendance; Declining GPA; Heavy rainfall,Monitor performance and attendance
ST1057,48,4.71,6.56,86,3,60,1387.1,55,8,30.5,59,36.5,78,149,71.4,High,Low attendance; Declining GPA; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1058,78,7.9,6.71,74,0,98,1084.9,54,3,28.6,48,10.4,76,97,19.8,Low,High water level,Continue regular monitoring
ST1059,57,8.48,4.98,62,0,95,1470.7,83,0,39.5,82,0.2,70,23,23.3,Low,Low attendance,Continue regular monitoring
ST1060,43,7.5,8.77,46,0,61,911.5,58,0,39.7,85,54,69,160,39.6,Low,Low attendance; Declining GPA; Low assignment completion,Continue regular monitoring
ST1061,64,9.77,8.16,99,1,75,1332.1,65,4,27.4,52,100.4,80,247,22.3,Low,Low attendance; Heavy rainfall; High water level,Continue regular monitoring
ST1062,99,6.25,5.32,33,4,73,468.6,43,1,33.5,91,68.7,33,182,57,Medium,Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1063,53,5.71,4.49,49,1,69,768.8,64,15,40.4,62,119.9,72,147,69.2,Medium,Low attendance; Low assignment completion; Heavy rainfall,Monitor performance and attendance
ST1064,89,9.21,8.08,76,1,64,473.7,59,13,41.2,47,34.4,95,219,19.9,Low,High water level,Continue regular monitoring
ST1065,97,5.34,7.93,44,5,84,1472.9,46,7,31.2,62,33.7,70,213,66.2,Medium,Declining GPA; Low assignment completion; Backlogs,Monitor performance and attendance
ST1066,48,9.78,5.64,99,5,67,1298.7,96,9,30,61,19.2,32,153,38.7,Low,Low attendance; Backlogs,Continue regular monitoring
ST1067,65,4.07,9.71,76,0,40,1337.8,59,10,26.1,90,19.7,39,50,50.4,Medium,Low attendance; Declining GPA,Monitor performance and attendance
ST1068,92,9.82,4.91,38,1,88,1431.8,74,4,41.1,83,34.2,69,157,11.5,Low,Low assignment completion,Continue regular monitoring
ST1069,41,4.26,6.59,45,0,84,493.6,80,4,23.1,46,95.1,27,40,73,High,Low attendance; Declining GPA; Low assignment completion; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1070,59,9.35,9.66,98,5,43,824.2,76,1,32.8,48,108.7,65,221,49,Medium,Low attendance; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1071,67,7.17,6.52,90,4,46,478.1,82,6,26.2,99,117,62,42,60.1,Medium,Low attendance; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1072,86,9.96,7.83,39,3,88,631.9,93,12,26.1,63,27.9,16,150,24.5,Low,Low assignment completion; Backlogs,Continue regular monitoring
ST1073,99,4.44,6.39,79,0,48,652.3,67,7,28.9,54,105.8,78,179,48.1,Medium,Declining GPA; Heavy rainfall; High water level,Monitor performance and attendance
ST1074,46,7.32,5.65,32,4,75,916,93,9,42,97,39.4,81,167,72.1,High,Low attendance; Low assignment completion; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1075,83,9.82,9.9,99,3,58,695.4,36,12,21.2,40,13.5,88,221,21.3,Low,Backlogs; High water level,Continue regular monitoring
ST1076,100,7.14,6.46,80,2,40,511.1,51,0,32.7,45,104.4,61,48,35.2,Low,Backlogs; Heavy rainfall,Continue regular monitoring
ST1077,47,7.78,9.36,48,0,49,584.2,70,1,21.8,90,76.3,13,124,39.2,Low,Low attendance; Declining GPA; Low assignment completion; Heavy rainfall,Continue regular monitoring
ST1078,86,8.17,5.38,71,0,75,562,39,9,23.4,36,19.8,43,71,12.7,Low,No major risk factors,Continue regular monitoring
ST1079,74,6.73,5.28,64,2,48,1470.4,86,15,29.7,45,51.6,78,134,45.3,Medium,Low attendance; Backlogs; High water level,Monitor performance and attendance
ST1080,53,7.77,4.19,75,2,84,1235.2,36,3,31.2,45,34.5,42,193,39.3,Low,Low attendance; Backlogs,Continue regular monitoring
ST1081,56,7.51,7.91,55,0,85,1464.5,79,4,25.7,69,88.4,78,181,42.6,Medium,Low attendance; Low assignment completion; Heavy rainfall; High water level,Monitor performance and attendance
ST1082,75,9.41,6.21,98,2,81,883.7,81,12,27,41,54.4,47,120,13.4,Low,Backlogs,Continue regular monitoring
ST1083,89,4.27,9.19,93,1,71,706.2,62,1,21.9,64,118.7,35,103,55.3,Medium,Declining GPA; Heavy rainfall,Monitor performance and attendance
ST1084,79,5.69,6.84,66,3,71,1278.1,30,0,26.7,50,6.6,10,80,53.3,Medium,Declining GPA; Backlogs,Monitor performance and attendance
ST1085,43,9.7,9.81,78,3,45,758.9,82,8,41.3,79,42.6,13,144,33.9,Low,Low attendance; Backlogs,Continue regular monitoring
ST1086,41,9.34,5.11,50,3,87,729.3,89,13,40.8,72,57.8,48,219,43.7,Medium,Low attendance; Low assignment completion; Backlogs,Monitor performance and attendance
ST1087,45,6.73,9.21,93,1,77,655.8,63,0,27.4,46,60.4,63,90,40.2,Medium,Low attendance; Declining GPA; Heavy rainfall,Monitor performance and attendance
ST1088,93,7.72,8.66,34,2,56,542.6,33,12,32.6,61,37.9,99,89,47,Medium,Declining GPA; Low assignment completion; Backlogs; High water level,Monitor performance and attendance
ST1089,81,5.66,8.63,99,4,49,682.1,46,14,40,70,87.5,42,158,57.5,Medium,Declining GPA; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1090,43,5.13,9.07,33,2,89,790.9,33,3,20.1,35,105,42,127,82.7,High,Low attendance; Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1091,93,6.78,8.57,68,0,66,1141.4,72,1,37.8,56,112.6,81,229,38.1,Low,Declining GPA; Heavy rainfall; High water level,Continue regular monitoring
ST1092,68,6.12,7.76,64,5,93,468.8,33,10,40.9,49,96.6,29,240,75,High,Low attendance; Declining GPA; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1093,57,7.5,4.79,30,3,89,631.6,30,3,22,54,102.1,25,236,65.6,Medium,Low attendance; Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1094,65,4.47,4.2,53,2,74,1289.9,100,7,23.6,95,66.1,30,210,66,Medium,Low attendance; Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1095,83,9.85,9.53,86,4,91,561.6,79,7,41.1,38,99.1,54,40,30.7,Low,Backlogs; Heavy rainfall,Continue regular monitoring
ST1096,73,9.92,7.7,99,0,98,776.9,90,14,31.8,82,36.4,99,150,11.2,Low,Low attendance; High water level,Continue regular monitoring
ST1097,49,8.19,8.78,70,1,60,1351.1,64,10,20.3,90,47.8,96,101,44.5,Medium,Low attendance; Declining GPA; High water level,Monitor performance and attendance
ST1098,75,7.22,6.89,83,1,64,570.4,37,11,25.7,67,38,91,107,36.8,Low,High water level,Continue regular monitoring
ST1099,53,5.86,4.7,75,4,67,491,53,8,29.9,32,56.1,71,130,66.2,Medium,Low attendance; Backlogs,Monitor performance and attendance
ST1100,70,8.88,4.75,89,0,86,933,65,12,35.2,99,34.3,40,249,9.3,Low,Low attendance,Continue regular monitoring
ST1101,87,8.11,8.11,89,3,54,732.7,79,14,36.1,84,115.4,51,29,39.3,Low,Backlogs; Heavy rainfall,Continue regular monitoring
ST1102,54,4.98,6.58,86,2,43,1019.7,72,10,41.9,30,37.5,21,174,57.5,Medium,Low attendance; Declining GPA; Backlogs,Monitor performance and attendance
ST1103,47,9.47,5.2,60,0,68,1284.2,56,14,26.3,99,11.8,74,31,21.9,Low,Low attendance,Continue regular monitoring
ST1104,53,8.94,6.95,53,1,98,550.9,61,11,31.8,74,63.2,82,26,35.6,Low,Low attendance; Low assignment completion; Heavy rainfall; High water level,Continue regular monitoring
ST1105,62,9.7,4.39,65,4,48,1038.8,47,4,31.7,76,6.9,12,164,35.7,Low,Low attendance; Backlogs,Continue regular monitoring
ST1106,99,8.35,7.49,59,4,66,956.1,57,6,28.9,55,13.3,99,212,46.4,Medium,Low assignment completion; Backlogs; High water level,Monitor performance and attendance
ST1107,96,7.68,5.61,53,2,65,558.5,58,2,23.7,43,26.3,18,211,28.7,Low,Low assignment completion; Backlogs,Continue regular monitoring
ST1108,79,6.51,8.79,59,4,58,1086.4,45,9,41.5,83,55.7,60,133,54.7,Medium,Declining GPA; Low assignment completion; Backlogs,Monitor performance and attendance
ST1109,60,9.6,5.86,36,4,95,701,76,3,38.8,100,52,25,45,43.8,Medium,Low attendance; Low assignment completion; Backlogs,Monitor performance and attendance
ST1110,55,9.2,6.73,64,0,67,936.6,88,9,31,75,96,97,34,38.6,Low,Low attendance; Heavy rainfall; High water level,Continue regular monitoring
ST1111,84,4.27,4.07,84,3,56,490.5,60,8,33.3,60,88.7,87,52,72.2,High,Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1112,57,4.16,4.43,43,2,82,905.5,33,9,25,88,51.2,12,81,72.3,High,Low attendance; Low assignment completion; Backlogs,Faculty intervention; Academic counselling; Campus monitoring
ST1113,86,6.26,6.35,39,0,96,737.1,66,9,32,58,40,33,248,34.3,Low,Low assignment completion,Continue regular monitoring
ST1114,92,8.86,6.88,45,3,80,1304.6,46,13,35.3,46,38,82,66,34.6,Low,Low assignment completion; Backlogs; High water level,Continue regular monitoring
ST1115,63,9.92,7.6,83,0,81,462.7,68,11,31.3,43,92.9,22,114,12.9,Low,Low attendance; Heavy rainfall,Continue regular monitoring
ST1116,65,4.9,5.75,99,5,89,860.5,77,0,41.8,65,6.2,11,54,69.1,Medium,Low attendance; Declining GPA; Backlogs,Monitor performance and attendance
ST1117,64,7.56,8.17,73,0,59,904.3,75,1,33.4,87,1.5,80,212,29.6,Low,Low attendance; Declining GPA; High water level,Continue regular monitoring
ST1118,99,6.29,9.16,74,4,84,1197.5,77,15,28.2,53,95.5,30,219,53.5,Medium,Declining GPA; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1119,99,9.82,8.68,85,3,79,1031.7,68,4,37,92,57.3,28,95,10.3,Low,Backlogs,Continue regular monitoring
ST1120,99,9.05,4.24,86,2,78,1133.9,33,2,23.8,54,15.7,98,142,22.5,Low,Backlogs; High water level,Continue regular monitoring
ST1121,84,9.03,6.88,50,2,88,1254.8,59,1,28.5,88,28.3,56,102,23.8,Low,Low assignment completion; Backlogs,Continue regular monitoring
ST1122,80,6.81,4.63,97,3,92,1348.4,59,0,27.6,61,111.9,31,44,49.2,Medium,Backlogs; Heavy rainfall,Monitor performance and attendance
ST1123,68,6.49,5.45,79,4,62,745.3,51,9,29.5,47,103.1,84,76,70.6,High,Low attendance; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1124,54,5.64,9.92,62,1,86,991.8,95,2,37.2,66,85.2,42,51,57.6,Medium,Low attendance; Declining GPA; Heavy rainfall,Monitor performance and attendance
ST1125,84,4.34,4.85,36,0,71,1324.1,41,0,30.7,55,57.9,41,82,50.2,Medium,Declining GPA; Low assignment completion,Monitor performance and attendance
ST1126,40,9.19,6.99,99,4,91,1488.4,65,11,37.5,38,62.4,73,31,42,Medium,Low attendance; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1127,64,8.88,7.71,44,5,86,1378.5,47,0,32.7,93,117,94,82,75.7,High,Low attendance; Low assignment completion; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1128,46,10,8.21,61,3,72,808.6,82,11,27.5,49,115.9,48,96,47,Medium,Low attendance; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1129,48,9.98,7.36,49,0,96,614.7,100,0,37.8,83,25.8,93,111,28.7,Low,Low attendance; Low assignment completion; High water level,Continue regular monitoring
ST1130,63,7.33,4.06,44,2,85,938.3,30,7,25.2,59,97.3,81,20,59.3,Medium,Low attendance; Low assignment completion; Backlogs; Heavy rainfall; High water level,Monitor performance and attendance
ST1131,40,8.61,5.96,77,1,44,1215.8,87,14,24.9,82,23.7,51,198,31.4,Low,Low attendance,Continue regular monitoring
ST1132,83,9.67,7.11,100,5,82,941.8,35,2,31.1,92,25.6,18,89,26.1,Low,Backlogs,Continue regular monitoring
ST1133,47,9.1,4.53,50,2,87,931.5,99,10,25.7,40,81.1,34,155,42,Medium,Low attendance; Low assignment completion; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1134,63,5.48,6.1,71,3,73,1322.1,73,0,20.2,60,48.6,98,215,72.4,High,Low attendance; Declining GPA; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1135,50,6.7,4.2,55,0,79,797.5,53,6,34.3,78,111.8,11,152,52.7,Medium,Low attendance; Low assignment completion; Heavy rainfall,Monitor performance and attendance
ST1136,90,4.77,4.47,43,3,50,1345.8,48,9,31.2,48,10.7,28,236,61.3,Medium,Low assignment completion; Backlogs,Monitor performance and attendance
ST1137,56,9.72,6.38,86,0,100,847.5,47,2,29.8,41,61.4,29,105,9.2,Low,Low attendance; Heavy rainfall,Continue regular monitoring
ST1138,47,7.64,4.8,66,4,89,761.1,59,7,41.3,44,110.2,79,239,72.1,High,Low attendance; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1139,74,5.37,7.41,87,1,42,899.4,71,3,32.6,60,108.5,26,58,51.7,Medium,Low attendance; Declining GPA; Heavy rainfall,Monitor performance and attendance
ST1140,74,8.03,8.14,50,4,97,1238.7,62,3,39,72,18.8,98,42,59.8,Medium,Low attendance; Low assignment completion; Backlogs; High water level,Monitor performance and attendance
ST1141,72,7.71,8.8,98,4,72,538.6,41,4,23.1,66,44,77,87,42.6,Medium,Low attendance; Declining GPA; Backlogs; High water level,Monitor performance and attendance
ST1142,98,6.15,5.2,32,3,50,616.1,56,5,32.5,58,74.3,93,199,64,Medium,Low assignment completion; Backlogs; Heavy rainfall; High water level,Monitor performance and attendance
ST1143,44,4.68,5,66,1,55,1446.6,68,6,39.1,55,19.1,12,23,62,Medium,Low attendance,Monitor performance and attendance
ST1144,81,8.03,4.63,78,0,57,593,38,13,32.8,31,116.2,96,145,38.5,Low,Heavy rainfall; High water level,Continue regular monitoring
ST1145,78,7.12,7.82,48,0,69,1024.5,50,13,35.8,44,109.8,60,194,40.1,Medium,Declining GPA; Low assignment completion; Heavy rainfall,Monitor performance and attendance
ST1146,97,8.63,8.24,41,5,87,1037.2,58,3,28.2,33,20,91,40,51.5,Medium,Low assignment completion; Backlogs; High water level,Monitor performance and attendance
ST1147,80,7.12,4.19,90,2,94,938.6,62,15,22,79,14.5,35,248,30.6,Low,Backlogs,Continue regular monitoring
ST1148,67,9.11,9.62,70,5,49,1109.2,91,7,30.1,67,10.2,65,203,43.2,Medium,Low attendance; Declining GPA; Backlogs,Monitor performance and attendance
ST1149,46,7.31,4.31,62,5,57,652.8,44,12,28.7,52,109.1,73,124,78.9,High,Low attendance; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1150,48,7.37,7.25,79,0,77,1007.9,31,5,39.1,88,23.2,17,85,31.2,Low,Low attendance,Continue regular monitoring
ST1151,47,9.26,8.25,97,3,58,809.4,81,13,25.4,57,50,90,206,40.4,Medium,Low attendance; Backlogs; High water level,Monitor performance and attendance
ST1152,51,6.42,9.23,100,4,75,1127.8,73,0,41.3,95,53.9,46,26,56.7,Medium,Low attendance; Declining GPA; Backlogs,Monitor performance and attendance
ST1153,73,4.8,8.28,62,4,98,555.3,83,0,41.1,37,71.9,36,68,71.9,High,Low attendance; Declining GPA; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1154,72,4.17,8.81,53,4,52,1028,47,8,25.4,58,8.6,54,35,76.3,High,Low attendance; Declining GPA; Low assignment completion; Backlogs,Faculty intervention; Academic counselling; Campus monitoring
ST1155,87,8.53,6.04,90,1,95,603.8,32,9,27.7,40,27.2,13,164,11.3,Low,No major risk factors,Continue regular monitoring
ST1156,94,7.72,8.89,90,0,85,706.5,36,5,39.7,47,111.8,95,103,31.8,Low,Declining GPA; Heavy rainfall; High water level,Continue regular monitoring
ST1157,62,8.22,4.48,57,3,42,640.6,72,15,41.3,84,109,99,106,66.8,Medium,Low attendance; Low assignment completion; Backlogs; Heavy rainfall; High water level,Monitor performance and attendance
ST1158,63,5.28,9.37,87,1,49,601.1,67,15,29.8,79,93.8,97,117,65.4,Medium,Low attendance; Declining GPA; Heavy rainfall; High water level,Monitor performance and attendance
ST1159,76,4.82,7.29,72,2,77,1308.3,66,9,27.1,43,2.3,46,94,53.6,Medium,Declining GPA; Backlogs,Monitor performance and attendance
ST1160,74,4.09,8.9,70,3,40,714.3,87,7,31.6,38,39.2,80,53,70.8,High,Low attendance; Declining GPA; Backlogs; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1161,83,6.1,6.71,68,5,94,1419.8,62,12,35.1,40,75.4,42,180,63.8,Medium,Declining GPA; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1162,79,7.54,7.86,78,3,95,1466.9,88,6,26,92,33,40,45,36.6,Low,Backlogs,Continue regular monitoring
ST1163,61,6.35,7.16,46,3,66,1028.4,40,11,36.2,96,109.2,64,85,70.7,High,Low attendance; Declining GPA; Low assignment completion; Backlogs; Heavy rainfall,Faculty intervention; Academic counselling; Campus monitoring
ST1164,66,6.62,8.39,99,4,85,557.3,97,5,21.1,82,76.1,21,144,53.4,Medium,Low attendance; Declining GPA; Backlogs; Heavy rainfall,Monitor performance and attendance
ST1165,74,9.42,4.49,99,3,47,812,97,15,21.1,68,8.6,20,82,19.5,Low,Low attendance; Backlogs,Continue regular monitoring
ST1166,40,6.09,4.36,94,5,90,1277.5,51,3,28.5,85,109.1,97,106,94,High,Low attendance; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1167,74,7.08,5.48,34,5,85,804.1,95,15,27.8,57,114.9,81,60,81.4,High,Low attendance; Low assignment completion; Backlogs; Heavy rainfall; High water level,Faculty intervention; Academic counselling; Campus monitoring
ST1168,76,8.7,4.96,31,0,81,495.7,73,6,26.9,68,9.3,41,233,21.5,Low,Low assignment completion,Continue regular monitoring
